"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"INF1 24xlarge","inf1.24xlarge","192.0 GiB","96 vCPUs","EBS only","100 Gigabit","$4.7210 hourly","$2.9740 hourly","$1.5107 hourly","unavailable","unavailable"
"R5B 16xlarge","r5b.16xlarge","512.0 GiB","64 vCPUs","EBS only","20 Gigabit","$4.7680 hourly","$3.0038 hourly","$1.6079 hourly","$7.7120 hourly","$5.9478 hourly"
"R5N 16xlarge","r5n.16xlarge","512.0 GiB","64 vCPUs","EBS only","75 Gigabit","$4.7680 hourly","$3.0040 hourly","$1.3660 hourly","$7.7120 hourly","$5.9480 hourly"
"M7I Metal-24xl","m7i.metal-24xl","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$4.8384 hourly","$3.2006 hourly","$0.4838 hourly","$9.2544 hourly","$7.6166 hourly"
"C6ID 24xlarge","c6id.24xlarge","192.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","$4.8384 hourly","$3.0492 hourly","$1.0790 hourly","$9.2544 hourly","$7.4652 hourly"
"M7I 24xlarge","m7i.24xlarge","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$4.8384 hourly","$3.2006 hourly","$1.0929 hourly","$9.2544 hourly","$7.6166 hourly"
"R6ID 16xlarge","r6id.16xlarge","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$4.8384 hourly","$3.0408 hourly","$0.5969 hourly","$7.7824 hourly","$5.9848 hourly"
"R7A 16xlarge","r7a.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","$4.8688 hourly","$3.2207 hourly","$1.1741 hourly","$7.8128 hourly","$6.1647 hourly"
"C6A 32xlarge","c6a.32xlarge","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","$4.8960 hourly","$3.2387 hourly","$1.4452 hourly","$10.7840 hourly","$9.1267 hourly"
"C7A 24xlarge","c7a.24xlarge","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$4.9267 hourly","$3.2590 hourly","$1.1405 hourly","$9.3427 hourly","$7.6750 hourly"
"I4G 16xlarge","i4g.16xlarge","512.0 GiB","64 vCPUs","15000 GB                 (4 * 3750 GB NVMe SSD)","37.5 Gigabit","$4.9421 hourly","$3.2071 hourly","$0.4942 hourly","unavailable","unavailable"
"M5AD 24xlarge","m5ad.24xlarge","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","20 Gigabit","$4.9440 hourly","$3.1150 hourly","$1.0721 hourly","$9.3600 hourly","$7.5310 hourly"
"I3 High I/O 16xlarge","i3.16xlarge","488.0 GiB","64 vCPUs","15200 GB                 (8 * 1900 GB NVMe SSD)","25 Gigabit","$4.9920 hourly","$3.4270 hourly","$0.7100 hourly","$7.9360 hourly","$6.3710 hourly"
"I3 High I/O Metal","i3.metal","512.0 GiB","72 vCPUs","15200 GB                 (8 * 1900 GB NVMe SSD)","25 Gigabit","$4.9920 hourly","$3.4270 hourly","$0.5653 hourly","$7.9360 hourly","$6.3710 hourly"
"M6IDN 16xlarge","m6idn.16xlarge","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$5.0918 hourly","$3.2079 hourly","$0.5092 hourly","$8.0358 hourly","$6.1519 hourly"
"R5DN 16xlarge","r5dn.16xlarge","512.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","75 Gigabit","$5.3440 hourly","$3.3670 hourly","$1.3813 hourly","$8.2880 hourly","$6.3110 hourly"
"X2GD Metal","x2gd.metal","1024.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$5.3440 hourly","$3.2932 hourly","$0.8823 hourly","unavailable","unavailable"
"X2GD 16xlarge","x2gd.16xlarge","1024.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$5.3440 hourly","$3.2932 hourly","$0.8574 hourly","unavailable","unavailable"
"M5 General Purpose 24xlarge","m5d.24xlarge","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$5.4240 hourly","$3.4170 hourly","$1.9012 hourly","$9.8400 hourly","$7.8330 hourly"
"I3EN 12xlarge","i3en.12xlarge","384.0 GiB","48 vCPUs","30000 GB                 (4 * 7500 GB NVMe SSD)","50 Gigabit","$5.4240 hourly","$3.6940 hourly","$0.6592 hourly","$7.6320 hourly","$5.9020 hourly"
"R5A 24xlarge","r5a.24xlarge","768.0 GiB","96 vCPUs","EBS only","20 Gigabit","$5.4240 hourly","$3.4170 hourly","$1.7620 hourly","$9.8400 hourly","$7.8330 hourly"
"M5 General Purpose Metal","m5d.metal","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$5.4240 hourly","$3.4170 hourly","$1.2847 hourly","$9.8400 hourly","$7.8330 hourly"
"C6I 32xlarge","c6i.32xlarge","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","$5.4400 hourly","$3.5986 hourly","$1.7047 hourly","$11.3280 hourly","$9.4866 hourly"
"C6I Metal","c6i.metal","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","$5.4400 hourly","$3.5986 hourly","$1.9917 hourly","$11.3280 hourly","$9.4866 hourly"
"C6IN 24xlarge","c6in.24xlarge","192.0 GiB","96 vCPUs","EBS only","150 Gigabit","$5.4432 hourly","$3.4292 hourly","$1.5907 hourly","$9.8592 hourly","$7.8452 hourly"
"R6A 24xlarge","r6a.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$5.4432 hourly","$3.6007 hourly","$0.9017 hourly","$9.8592 hourly","$8.0167 hourly"
"I4I 16xlarge","i4i.16xlarge","512.0 GiB","64 vCPUs","15000 GB                 (4 * 3750 GB NVMe SSD)","37.5 Gigabit","$5.4910 hourly","$3.5630 hourly","$0.9661 hourly","$8.4350 hourly","$6.5070 hourly"
"D2 Eight Extra Large","d2.8xlarge","244.0 GiB","36 vCPUs","49152 GB                 (24 * 2048 GB HDD)","10 Gigabit","$5.5200 hourly","$3.2160 hourly","$1.0761 hourly","$6.1980 hourly","$3.3000 hourly"
"M6A 32xlarge","m6a.32xlarge","512.0 GiB","128 vCPUs","EBS only","50 Gigabit","$5.5296 hourly","$3.6578 hourly","$0.8313 hourly","$11.4176 hourly","$9.5458 hourly"
"M7A 24xlarge","m7a.24xlarge","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$5.5642 hourly","$3.6807 hourly","$1.2007 hourly","$9.9802 hourly","$8.0967 hourly"
"R6IN 16xlarge","r6in.16xlarge","512.0 GiB","64 vCPUs","EBS only","100 Gigabit","$5.5786 hourly","$3.5145 hourly","$0.6248 hourly","$8.5226 hourly","$6.4585 hourly"
"G5 Graphics and Machine Learning GPU 12xlarge","g5.12xlarge","192.0 GiB","48 vCPUs","3800 GB                 NVMe SSD","40 Gigabit","$5.6720 hourly","$3.5734 hourly","$0.6736 hourly","$7.8800 hourly","$5.7814 hourly"
"M6ID 24xlarge","m6id.24xlarge","384.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","$5.6952 hourly","$3.5880 hourly","$0.6336 hourly","$10.1112 hourly","$8.0040 hourly"
"M5N Metal","m5n.metal","384.0 GiB","96 vCPUs","EBS only","100 Gigabit","$5.7120 hourly","$3.5990 hourly","$1.3878 hourly","$10.1280 hourly","$8.0150 hourly"
"M5N 24xlarge","m5n.24xlarge","384.0 GiB","96 vCPUs","EBS only","100 Gigabit","$5.7120 hourly","$3.5990 hourly","$1.6887 hourly","$10.1280 hourly","$8.0150 hourly"
"IM4GN 16xlarge","im4gn.16xlarge","256.0 GiB","64 vCPUs","30000 GB                 (4 * 7500 GB NVMe SSD)","100 Gigabit","$5.8207 hourly","$3.7330 hourly","$0.9655 hourly","unavailable","unavailable"
"R5 Metal","r5.metal","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","$6.0480 hourly","$3.8100 hourly","$1.4261 hourly","$10.4640 hourly","$8.2260 hourly"
"R5 24xlarge","r5.24xlarge","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","$6.0480 hourly","$3.8100 hourly","$1.7771 hourly","$10.4640 hourly","$8.2260 hourly"
"R6I 24xlarge","r6i.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$6.0480 hourly","$4.0008 hourly","$1.5817 hourly","$10.4640 hourly","$8.4168 hourly"
"M6I 32xlarge","m6i.32xlarge","512.0 GiB","128 vCPUs","EBS only","50 Gigabit","$6.1440 hourly","$4.0643 hourly","$2.2149 hourly","$12.0320 hourly","$9.9523 hourly"
"M6I Metal","m6i.metal","512.0 GiB","128 vCPUs","EBS only","50 Gigabit","$6.1440 hourly","$4.0643 hourly","$2.1860 hourly","$12.0320 hourly","$9.9523 hourly"
"R6IDN 16xlarge","r6idn.16xlarge","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$6.2525 hourly","$3.9391 hourly","$0.7871 hourly","$9.1965 hourly","$6.8831 hourly"
"R5AD 24xlarge","r5ad.24xlarge","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","20 Gigabit","$6.2880 hourly","$3.9610 hourly","$1.8308 hourly","$10.7040 hourly","$8.3770 hourly"
"R7I Metal-24xl","r7i.metal-24xl","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$6.3504 hourly","$4.2008 hourly","$0.6350 hourly","$10.7664 hourly","$8.6168 hourly"
"R7I 24xlarge","r7i.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$6.3504 hourly","$4.2008 hourly","$0.6350 hourly","$10.7664 hourly","$8.6168 hourly"
"C6ID 32xlarge","c6id.32xlarge","256.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$6.4512 hourly","$4.0656 hourly","$1.1309 hourly","$12.3392 hourly","$9.9536 hourly"
"C6ID Metal","c6id.metal","256.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$6.4512 hourly","$4.0656 hourly","$1.3405 hourly","$12.3392 hourly","$9.9536 hourly"
"INF2 24xlarge","inf2.24xlarge","384.0 GiB","96 vCPUs","EBS only","50 Gigabit","$6.4906 hourly","$4.0891 hourly","$1.5333 hourly","unavailable","unavailable"
"M5DN 24xlarge","m5dn.24xlarge","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","$6.5280 hourly","$4.1130 hourly","$0.6528 hourly","$10.9440 hourly","$8.5290 hourly"
"M5DN Metal","m5dn.metal","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","$6.5280 hourly","$4.1130 hourly","$0.6913 hourly","$10.9440 hourly","$8.5290 hourly"
"C7A 32xlarge","c7a.32xlarge","256.0 GiB","128 vCPUs","EBS only","50 Gigabit","$6.5690 hourly","$4.3454 hourly","$2.1205 hourly","$12.4570 hourly","$10.2334 hourly"
"X1 Extra High-Memory 16xlarge","x1.16xlarge","976.0 GiB","64 vCPUs","1920 GB                 SSD","10 Gigabit","$6.6690 hourly","$4.1100 hourly","$1.1649 hourly","$9.6130 hourly","$7.0540 hourly"
"X2IEDN Eight Extra Large","x2iedn.8xlarge","1024.0 GiB","32 vCPUs","950 GB                 NVMe SSD","25 Gigabit","$6.6690 hourly","$4.1034 hourly","$0.7965 hourly","$8.1410 hourly","$5.5754 hourly"
"X2IDN 16xlarge","x2idn.16xlarge","1024.0 GiB","64 vCPUs","1900 GB                 NVMe SSD","50 Gigabit","$6.6690 hourly","$4.1034 hourly","$1.2683 hourly","$9.6130 hourly","$7.0474 hourly"
"X1E Eight Extra Large","x1e.8xlarge","976.0 GiB","32 vCPUs","960 GB                 SSD","Up to 10 Gigabit","$6.6720 hourly","$4.1120 hourly","$0.9939 hourly","$8.1440 hourly","$5.5840 hourly"
"M6IN 24xlarge","m6in.24xlarge","384.0 GiB","96 vCPUs","EBS only","150 Gigabit","$6.6830 hourly","$4.2103 hourly","$2.3527 hourly","$11.0990 hourly","$8.6263 hourly"
"I2 Eight Extra Large","i2.8xlarge","244.0 GiB","32 vCPUs","6400 GB                 (8 * 800 GB SSD)","10 Gigabit","$6.8200 hourly","$3.3920 hourly","$1.2611 hourly","$7.7820 hourly","$4.5210 hourly"
"R5D 24xlarge","r5d.24xlarge","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$6.9120 hourly","$4.3550 hourly","$1.6738 hourly","$11.3280 hourly","$8.7710 hourly"
"R5D Metal","r5d.metal","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$6.9120 hourly","$4.3550 hourly","$1.5471 hourly","$11.3280 hourly","$8.7710 hourly"
"R5N 24xlarge","r5n.24xlarge","768.0 GiB","96 vCPUs","EBS only","100 Gigabit","$7.1520 hourly","$4.5060 hourly","$2.0823 hourly","$11.5680 hourly","$8.9220 hourly"
"R5B 24xlarge","r5b.24xlarge","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","$7.1520 hourly","$4.5058 hourly","$2.1054 hourly","$11.5680 hourly","$8.9218 hourly"
"R5N Metal","r5n.metal","768.0 GiB","96 vCPUs","EBS only","100 Gigabit","$7.1520 hourly","$4.5060 hourly","$1.8636 hourly","$11.5680 hourly","$8.9220 hourly"
"R5B Metal","r5b.metal","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","$7.1520 hourly","$4.5058 hourly","$1.9309 hourly","$11.5680 hourly","$8.9218 hourly"
"P2 General Purpose GPU Eight Extra Large","p2.8xlarge","488.0 GiB","32 vCPUs","EBS only","10 Gigabit","$7.2000 hourly","$4.9140 hourly","$1.4309 hourly","$8.6720 hourly","$6.3860 hourly"
"R6ID 24xlarge","r6id.24xlarge","768.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","$7.2576 hourly","$4.5612 hourly","$1.9823 hourly","$11.6736 hourly","$8.9772 hourly"
"C6IN 32xlarge","c6in.32xlarge","256.0 GiB","128 vCPUs","EBS only","200 Gigabit","$7.2576 hourly","$4.5723 hourly","$1.4614 hourly","$13.1456 hourly","$10.4603 hourly"
"R6A 32xlarge","r6a.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","$7.2576 hourly","$4.8009 hourly","$1.2923 hourly","$13.1456 hourly","$10.6889 hourly"
"C6IN Metal","c6in.metal","256.0 GiB","128 vCPUs","EBS only","200 Gigabit","$7.2576 hourly","$4.5723 hourly","$1.3838 hourly","$13.1456 hourly","$10.4603 hourly"
"R7A 24xlarge","r7a.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","$7.3032 hourly","$4.8311 hourly","$0.7303 hourly","$11.7192 hourly","$9.2471 hourly"
"C6A 48xlarge","c6a.48xlarge","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","$7.3440 hourly","$4.8581 hourly","$1.6620 hourly","$16.1760 hourly","$13.6901 hourly"
"C6A Metal","c6a.metal","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","$7.3440 hourly","$4.8581 hourly","$1.7848 hourly","$16.1760 hourly","$13.6901 hourly"
"M7A 32xlarge","m7a.32xlarge","512.0 GiB","128 vCPUs","EBS only","50 Gigabit","$7.4189 hourly","$4.9076 hourly","$1.0164 hourly","$13.3069 hourly","$10.7956 hourly"
"M6ID 32xlarge","m6id.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$7.5936 hourly","$4.7840 hourly","$0.9198 hourly","$13.4816 hourly","$10.6720 hourly"
"M6ID Metal","m6id.metal","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$7.5936 hourly","$4.7840 hourly","$1.3654 hourly","$13.4816 hourly","$10.6720 hourly"
"M6IDN 24xlarge","m6idn.24xlarge","384.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","150 Gigabit","$7.6378 hourly","$4.8118 hourly","$1.5510 hourly","$12.0538 hourly","$9.2278 hourly"
"G4DN Metal","g4dn.metal","384.0 GiB","96 vCPUs","1800 GB                 (2 * 900 GB NVMe SSD)","100 Gigabit","$7.8240 hourly","$4.9290 hourly","$3.1928 hourly","$12.2400 hourly","$9.3450 hourly"
"R5DN Metal","r5dn.metal","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","$8.0160 hourly","$5.0500 hourly","$1.7292 hourly","$12.4320 hourly","$9.4660 hourly"
"R5DN 24xlarge","r5dn.24xlarge","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","$8.0160 hourly","$5.0500 hourly","$2.3232 hourly","$12.4320 hourly","$9.4660 hourly"
"R6I Metal","r6i.metal","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","$8.0640 hourly","$5.3343 hourly","$2.8504 hourly","$13.9520 hourly","$11.2223 hourly"
"R6I 32xlarge","r6i.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","$8.0640 hourly","$5.3343 hourly","$2.6461 hourly","$13.9520 hourly","$11.2223 hourly"
"G5 Graphics and Machine Learning GPU 24xlarge","g5.24xlarge","384.0 GiB","96 vCPUs","3800 GB                 NVMe SSD","50 Gigabit","$8.1440 hourly","$5.1307 hourly","$1.3264 hourly","$12.5600 hourly","$9.5467 hourly"
"I4I 24xlarge","i4i.24xlarge","768.0 GiB","96 vCPUs","22500 GB                 (6 * 3750 GB NVMe SSD)","56.25 Gigabit","$8.2368 hourly","$5.3449 hourly","$0.8237 hourly","$12.6528 hourly","$9.7609 hourly"
"M6A 48xlarge","m6a.48xlarge","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","$8.2944 hourly","$5.4867 hourly","$1.3235 hourly","$17.1264 hourly","$14.3187 hourly"
"M6A Metal","m6a.metal","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","$8.2944 hourly","$5.4867 hourly","$1.2391 hourly","$17.1264 hourly","$14.3187 hourly"
"R6IN 24xlarge","r6in.24xlarge","768.0 GiB","96 vCPUs","EBS only","150 Gigabit","$8.3678 hourly","$5.2717 hourly","$1.8126 hourly","$12.7838 hourly","$9.6877 hourly"
"C7I 48xlarge","c7i.48xlarge","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","$8.5680 hourly","$5.6677 hourly","$2.2232 hourly","$17.4000 hourly","$14.4997 hourly"
"C7I Metal-48xl","c7i.metal-48xl","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","$8.5680 hourly","$5.6677 hourly","$0.8568 hourly","$17.4000 hourly","$14.4997 hourly"
"M6IN 32xlarge","m6in.32xlarge","512.0 GiB","128 vCPUs","EBS only","200 Gigabit","$8.9107 hourly","$5.6137 hourly","$1.3135 hourly","$14.7987 hourly","$11.5017 hourly"
"M6IN Metal","m6in.metal","512.0 GiB","128 vCPUs","EBS only","200 Gigabit","$8.9107 hourly","$5.6137 hourly","$1.1109 hourly","$14.7987 hourly","$11.5017 hourly"
"R6IDN 24xlarge","r6idn.24xlarge","768.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","150 Gigabit","$9.3787 hourly","$5.9086 hourly","$1.2299 hourly","$13.7947 hourly","$10.3246 hourly"
"M7I Metal-48xl","m7i.metal-48xl","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","$9.6768 hourly","$6.4012 hourly","$0.9677 hourly","$18.5088 hourly","$15.2332 hourly"
"R6ID 32xlarge","r6id.32xlarge","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$9.6768 hourly","$6.0816 hourly","$1.9170 hourly","$15.5648 hourly","$11.9696 hourly"
"R6ID Metal","r6id.metal","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$9.6768 hourly","$6.0816 hourly","$1.7203 hourly","$15.5648 hourly","$11.9696 hourly"
"M7I 48xlarge","m7i.48xlarge","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","$9.6768 hourly","$6.4012 hourly","$1.6556 hourly","$18.5088 hourly","$15.2332 hourly"
"R7A 32xlarge","r7a.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","$9.7376 hourly","$6.4414 hourly","$2.0860 hourly","$15.6256 hourly","$12.3294 hourly"
"C7A Metal-48xl","c7a.metal-48xl","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","$9.8534 hourly","$6.5180 hourly","$1.6702 hourly","$18.6854 hourly","$15.3500 hourly"
"C7A 48xlarge","c7a.48xlarge","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","$9.8534 hourly","$6.5180 hourly","$1.4231 hourly","$18.6854 hourly","$15.3500 hourly"
"X2IDN 24xlarge","x2idn.24xlarge","1536.0 GiB","96 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","$10.0035 hourly","$6.1551 hourly","$1.6280 hourly","$14.4195 hourly","$10.5711 hourly"
"M6IDN 32xlarge","m6idn.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","$10.1837 hourly","$6.4157 hourly","$1.8450 hourly","$16.0717 hourly","$12.3037 hourly"
"M6IDN Metal","m6idn.metal","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","$10.1837 hourly","$6.4157 hourly","$1.9108 hourly","$16.0717 hourly","$12.3037 hourly"
"I3EN Metal","i3en.metal","768.0 GiB","96 vCPUs","60000 GB                 (8 * 7500 GB NVMe SSD)","100 Gigabit","$10.8480 hourly","$7.3880 hourly","$1.0848 hourly","$15.2640 hourly","$11.8040 hourly"
"I3EN 24xlarge","i3en.24xlarge","768.0 GiB","96 vCPUs","60000 GB                 (8 * 7500 GB NVMe SSD)","100 Gigabit","$10.8480 hourly","$7.3880 hourly","$1.4701 hourly","$15.2640 hourly","$11.8040 hourly"
"R6A 48xlarge","r6a.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","$10.8864 hourly","$7.2013 hourly","$1.7849 hourly","$19.7184 hourly","$16.0333 hourly"
"R6A Metal","r6a.metal","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","$10.8864 hourly","$7.2013 hourly","$1.0886 hourly","$19.7184 hourly","$16.0333 hourly"
"I4I Metal","i4i.metal","1024.0 GiB","128 vCPUs","30000 GB                 (8 * 3750 GB NVMe SSD)","75 Gigabit","$10.9820 hourly","$7.1270 hourly","$1.5818 hourly","$16.8700 hourly","$13.0150 hourly"
"I4I 32xlarge","i4i.32xlarge","1024.0 GiB","128 vCPUs","30000 GB                 (8 * 3750 GB NVMe SSD)","75 Gigabit","$10.9824 hourly","$7.1266 hourly","$1.3742 hourly","$16.8704 hourly","$13.0146 hourly"
"M7A Metal-48xl","m7a.metal-48xl","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","$11.1283 hourly","$7.3614 hourly","$1.8208 hourly","$19.9603 hourly","$16.1934 hourly"
"M7A 48xlarge","m7a.48xlarge","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","$11.1283 hourly","$7.3614 hourly","$2.0018 hourly","$19.9603 hourly","$16.1934 hourly"
"R6IN 32xlarge","r6in.32xlarge","1024.0 GiB","128 vCPUs","EBS only","200 Gigabit","$11.1571 hourly","$7.0290 hourly","$1.5193 hourly","$17.0451 hourly","$12.9170 hourly"
"R6IN Metal","r6in.metal","1024.0 GiB","128 vCPUs","EBS only","200 Gigabit","$11.1571 hourly","$7.0290 hourly","$1.1157 hourly","$17.0451 hourly","$12.9170 hourly"
"P3 High Performance GPU Eight Extra Large","p3.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","$12.2400 hourly","$8.3540 hourly","$3.5608 hourly","$13.7120 hourly","$9.8260 hourly"
"R6IDN 32xlarge","r6idn.32xlarge","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","$12.5050 hourly","$7.8781 hourly","$1.6260 hourly","$18.3930 hourly","$13.7661 hourly"
"R6IDN Metal","r6idn.metal","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","$12.5050 hourly","$7.8781 hourly","$1.2505 hourly","$18.3930 hourly","$13.7661 hourly"
"R7I 48xlarge","r7i.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","$12.7008 hourly","$8.4016 hourly","$1.2701 hourly","$21.5328 hourly","$17.2336 hourly"
"R7I Metal-48xl","r7i.metal-48xl","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","$12.7008 hourly","$8.4016 hourly","$1.2701 hourly","$21.5328 hourly","$17.2336 hourly"
"INF2 48xlarge","inf2.48xlarge","768.0 GiB","192 vCPUs","EBS only","100 Gigabit","$12.9813 hourly","$8.1782 hourly","$1.6977 hourly","unavailable","unavailable"
"X2IDN 32xlarge","x2idn.32xlarge","2048.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$13.3380 hourly","$8.2069 hourly","$2.0585 hourly","$19.2260 hourly","$14.0949 hourly"
"X1 Extra High-Memory 32xlarge","x1.32xlarge","1952.0 GiB","128 vCPUs","3840 GB                 (2 * 1920 GB SSD)","25 Gigabit","$13.3380 hourly","$8.2190 hourly","$1.7545 hourly","$19.2260 hourly","$14.1070 hourly"
"X2IEDN 16xlarge","x2iedn.16xlarge","2048.0 GiB","64 vCPUs","1900 GB                 NVMe SSD","50 Gigabit","$13.3380 hourly","$8.2069 hourly","$1.3338 hourly","$16.2820 hourly","$11.1509 hourly"
"X2IDN Metal","x2idn.metal","2048.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$13.3380 hourly","$8.2069 hourly","$1.5940 hourly","$19.2260 hourly","$14.0949 hourly"
"X1E 16xlarge","x1e.16xlarge","1952.0 GiB","64 vCPUs","1920 GB                 SSD","10 Gigabit","$13.3440 hourly","$8.2230 hourly","$1.7824 hourly","$16.2880 hourly","$11.1670 hourly"
"P2 General Purpose GPU 16xlarge","p2.16xlarge","732.0 GiB","64 vCPUs","EBS only","25 Gigabit","$14.4000 hourly","$9.8280 hourly","$1.8034 hourly","$17.3440 hourly","$12.7720 hourly"
"R7A 48xlarge","r7a.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","$14.6064 hourly","$9.6621 hourly","$1.4606 hourly","$23.4384 hourly","$18.4941 hourly"
"R7A Metal-48xl","r7a.metal-48xl","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","$14.6064 hourly","$9.6621 hourly","$2.3296 hourly","$23.4384 hourly","$18.4941 hourly"
"G5 Graphics and Machine Learning GPU 48xlarge","g5.48xlarge","768.0 GiB","192 vCPUs","7600 GB                 (2 * 3800 GB NVMe SSD)","100 Gigabit","$16.2880 hourly","$10.2614 hourly","$2.9627 hourly","$25.1200 hourly","$19.0934 hourly"
"X2IEDN 24xlarge","x2iedn.24xlarge","3072.0 GiB","96 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","$20.0070 hourly","$12.3103 hourly","$2.8201 hourly","$24.4230 hourly","$16.7263 hourly"
